3.21264076233, 11.3268260956
2.77150535583, 13.7786064148
5.11733055115, 14.8297233582
7.29, 15.3
9.85404396057, 15.3697814941
10.8217258453, 12.6979846954
11.3364696503, 9.75072860718
12.1370754242, 7.19072198868
12.4771108627, 3.85026025772
13.4, 3.27
13.7, 1.2
14.1, -0.361
13.9261074066, -3.47123861313
12.0271520615, -8.96708011627
12.5047912598, -13.5405712128
13.3116989136, -17.1669311523
14.8968982697, -20.8101024628
17.4, -22.3
19.4929771423, -21.6080722809
19.8644981384, -18.0124607086
18.7426567078, -13.3458557129
18.5765762329, -10.8066329956
17.7276763916, -7.7955288887
16.2614040375, -6.90012454987
13.9261074066, -3.47123861313
13.2411365509, -1.01488161087
14.1, -0.361
13.7, 1.2
13.4, 3.27
13.6584148407, 7.26518392563
14.4859275818, 10.8465232849
13.7782096863, 13.7438621521
9.85404396057, 15.3697814941
7.29, 15.3
5.11733055115, 14.8297233582
2.77150535583, 13.7786064148
3.21264076233, 11.3268260956
